Nº Localidade;Nome Localidade;Nome Município;População;Nº de casos 2014;Nº de casos/ População
1;RECIFE;RECIFE;602;0;0
2; SANTO ANTONIO;RECIFE;285;2;0,007017544
3; SAO JOSE;RECIFE;8.688;5;0,000575506
4; ILHA JOANA BEZERRA;RECIFE;12.629;7;0,00055428
5; CABANGA;RECIFE;1.551;0;0
6; COELHOS;RECIFE;7.633;6;0,000786061
7; ILHA DO LEITE;RECIFE;1.007;0;0
8; BOA VISTA;RECIFE;14.778;17;0,001150359
9; PAISSANDU;RECIFE;507;1;0,001972387
10; SANTO AMARO;RECIFE;27.939;11;0,000393715
11; SOLEDADE;RECIFE;2.495;1;0,000400802
12; ESPINHEIRO;RECIFE;10.438;13;0,001245449
13; AFLITOS;RECIFE;5.773;7;0,001212541
14; DERBY;RECIFE;2.071;1;0,000482859
15; JAQUEIRA;RECIFE;1.591;2;0,001257071
16; GRACAS;RECIFE;20.538;9;0,000438212
17; ENCRUZILHADA;RECIFE;11.940;21;0,001758794
18; ROSARINHO;RECIFE;4.077;8;0,001962227
19; TAMARINEIRA;RECIFE;14.124;8;0,000566412
20; BOA VIAGEM;RECIFE;122.922;53;0,000431168
21; IPSEP;RECIFE;25.029;21;0,000839027
22; JORDAO;RECIFE;20.777;24;0,001155123
23; IBURA;RECIFE;50.617;79;0,00156074
24; PINA;RECIFE;29.176;16;0,000548396
25; BRASILIA TEIMOSA;RECIFE;18.334;8;0,000436348
26; IMBIRIBEIRA;RECIFE;48.512;32;0,000659631
27; TORREAO;RECIFE;1.083;1;0,000923361
28; CAMPO GRANDE;RECIFE;32.149;26;0,000808734
29; PEIXINHOS;RECIFE;4.998;1;0,00020008
30; HIPODROMO;RECIFE;2.658;1;0,000376223
31; CAMPINA DO BARRETO;RECIFE;9.484;23;0,002425137
32; ARRUDA;RECIFE;14.530;17;0,001169993
33; AGUA FRIA;RECIFE;43.529;27;0,000620276
34; FUNDAO;RECIFE;8.132;4;0,000491884
35; CAJUEIRO;RECIFE;6.584;9;0,00136695
36; PORTO DA MADEIRA;RECIFE;7.713;2;0,000259302
37; BEBERIBE;RECIFE;8.856;17;0,001919603
38; LINHA DO TIRO;RECIFE;14.867;12;0,000807157
39; DOIS UNIDOS;RECIFE;32.905;33;0,001002887
40; PASSARINHO;RECIFE;20.305;7;0,000344743
41; GUABIRABA;RECIFE;6.330;9;0,001421801
42; BOMBA DO HEMETERIO;RECIFE;8.472;4;0,000472144
43; CASA AMARELA;RECIFE;29.180;50;0,001713502
44; CASA FORTE;RECIFE;6.750;9;0,001333333
45; SANTANA;RECIFE;3.054;4;0,001309758
46; PARNAMIRIM;RECIFE;7.636;5;0,000654793
47; POCO;RECIFE;4.615;2;0,000433369
48; MONTEIRO;RECIFE;5.917;0;0
49; ALTO DO MANDU;RECIFE;4.655;5;0,001074114
50; APIPUCOS;RECIFE;3.342;3;0,000897666
51; MANGABEIRA;RECIFE;6.950;8;0,001151079
52; ALTO JOSE DO PINHO;RECIFE;12.334;10;0,000810767
53; MORRO DA CONCEICAO;RECIFE;10.182;4;0,00039285
54; ALTO JOSE BONIFACIO;RECIFE;12.462;9;0,000722195
55; VASCO DA GAMA;RECIFE;31.025;29;0,00093473
56; NOVA DESCOBERTA;RECIFE;34.212;43;0,001256869
57; BREJO DE BEBERIBE;RECIFE;8.292;13;0,001567776
58; MACAXEIRA;RECIFE;20.313;24;0,001181509
59; DOIS IRMAOS;RECIFE;2.566;11;0,004286828
60; SITIO DOS PINTOS;RECIFE;7.276;4;0,000549753
61; BREJO DA GUABIRABA;RECIFE;11.732;5;0,000426185
62; CORREGO DO JENIPAPO;RECIFE;9.246;5;0,000540774
63; PAU FERRO;RECIFE;72;0;0
64; MADALENA;RECIFE;22.082;27;0,001222715
65; TORRE;RECIFE;17.903;15;0,000837848
66; PRADO;RECIFE;11.694;5;0,00042757
67; ZUMBI;RECIFE;6.033;4;0,00066302
68; CORDEIRO;RECIFE;41.164;23;0,000558741
69; IPUTINGA;RECIFE;52.200;37;0,000708812
70; TORROES;RECIFE;32.015;26;0,000812119
71; ENGENHO DO MEIO;RECIFE;10.211;9;0,000881402
72; CIDADE UNIVERSITARIA;RECIFE;818;1;0,001222494
73; VARZEA;RECIFE;70.453;36;0,000510979
74; CAXANGA;RECIFE;9.634;7;0,000726593
75; CURADO;RECIFE;16.418;4;0,000243635
76; ILHA DO RETIRO;RECIFE;3.740;3;0,000802139
77; AFOGADOS;RECIFE;36.265;8;0,000220598
78; MUSTARDINHA;RECIFE;12.429;8;0,000643656
79; MANGUEIRA;RECIFE;8.480;4;0,000471698
80; BONGI;RECIFE;8.097;3;0,000370508
81; SAN MARTIN;RECIFE;25.414;18;0,000708271
82; JIQUIA;RECIFE;10.245;12;0,001171303
83; ESTANCIA;RECIFE;9.240;3;0,000324675
84; CACOTE;RECIFE;10.470;0;0
85; AREIAS;RECIFE;29.894;17;0,000568676
86; JARDIM SAO PAULO;RECIFE;31.648;29;0,00091633
87; BARRO;RECIFE;31.847;12;0,000376802
88; COHAB;RECIFE;67.283;59;0,000876893
89; TEJIPIO;RECIFE;8.918;16;0,001794124
90; SANCHO;RECIFE;11.199;7;0,000625056
91; TOTO;RECIFE;2.420;2;0,000826446
92; COQUEIRAL;RECIFE;10.794;4;0,000370576
93; PONTO DE PARADA;RECIFE;1.554;3;0,001930502
94; ALTO SANTA TEREZINHA;RECIFE;7.703;2;0,000259639
