Nº Localidade;Nome Localidade;Nome Município;coord_geo
1;RECIFE;RECIFE;
2; SANTO ANTONIO;RECIFE;
3; SAO JOSE;RECIFE;
4; ILHA JOANA BEZERRA;RECIFE;
5; CABANGA;RECIFE;
6; COELHOS;RECIFE;
7; ILHA DO LEITE;RECIFE;
8; BOA VISTA;RECIFE;
9; PAISSANDU;RECIFE;
10; SANTO AMARO;RECIFE;
11; SOLEDADE;RECIFE;
12; ESPINHEIRO;RECIFE;
13; AFLITOS;RECIFE;
14; DERBY;RECIFE;
15; JAQUEIRA;RECIFE;
16; GRACAS;RECIFE;
17; ENCRUZILHADA;RECIFE;
18; ROSARINHO;RECIFE;
19; TAMARINEIRA;RECIFE;
20; BOA VIAGEM;RECIFE;
21; IPSEP;RECIFE;
22; JORDAO;RECIFE;
23; IBURA;RECIFE;
24; PINA;RECIFE;
25; BRASILIA TEIMOSA;RECIFE;
26; IMBIRIBEIRA;RECIFE;
27; TORREAO;RECIFE;
28; CAMPO GRANDE;RECIFE;
29; PEIXINHOS;RECIFE;
30; HIPODROMO;RECIFE;
31; CAMPINA DO BARRETO;RECIFE;
32; ARRUDA;RECIFE;
33; AGUA FRIA;RECIFE;
34; FUNDAO;RECIFE;
35; CAJUEIRO;RECIFE;
36; PORTO DA MADEIRA;RECIFE;
37; BEBERIBE;RECIFE;
38; LINHA DO TIRO;RECIFE;
39; DOIS UNIDOS;RECIFE;
40; PASSARINHO;RECIFE;
41; GUABIRABA;RECIFE;
42; BOMBA DO HEMETERIO;RECIFE;
43; CASA AMARELA;RECIFE;
44; CASA FORTE;RECIFE;
45; SANTANA;RECIFE;
46; PARNAMIRIM;RECIFE;
47; POCO;RECIFE;
48; MONTEIRO;RECIFE;
49; ALTO DO MANDU;RECIFE;
50; APIPUCOS;RECIFE;
51; MANGABEIRA;RECIFE;
52; ALTO JOSE DO PINHO;RECIFE;
53; MORRO DA CONCEICAO;RECIFE;
54; ALTO JOSE BONIFACIO;RECIFE;
55; VASCO DA GAMA;RECIFE;
56; NOVA DESCOBERTA;RECIFE;
57; BREJO DE BEBERIBE;RECIFE;
58; MACAXEIRA;RECIFE;
59; DOIS IRMAOS;RECIFE;
60; SITIO DOS PINTOS;RECIFE;
61; BREJO DA GUABIRABA;RECIFE;
62; CORREGO DO JENIPAPO;RECIFE;
63; PAU FERRO;RECIFE;
64; MADALENA;RECIFE;
65; TORRE;RECIFE;
66; PRADO;RECIFE;
67; ZUMBI;RECIFE;
68; CORDEIRO;RECIFE;
69; IPUTINGA;RECIFE;
70; TORROES;RECIFE;
71; ENGENHO DO MEIO;RECIFE;
72; CIDADE UNIVERSITARIA;RECIFE;
73; VARZEA;RECIFE;
74; CAXANGA;RECIFE;
75; CURADO;RECIFE;
76; ILHA DO RETIRO;RECIFE;
77; AFOGADOS;RECIFE;
78; MUSTARDINHA;RECIFE;
79; MANGUEIRA;RECIFE;
80; BONGI;RECIFE;
81; SAN MARTIN;RECIFE;
82; JIQUIA;RECIFE;
83; ESTANCIA;RECIFE;
84; CACOTE;RECIFE;
85; AREIAS;RECIFE;
86; JARDIM SAO PAULO;RECIFE;
87; BARRO;RECIFE;
88; COHAB;RECIFE;
89; TEJIPIO;RECIFE;
90; SANCHO;RECIFE;
91; TOTO;RECIFE;
92; COQUEIRAL;RECIFE;
93; PONTO DE PARADA;RECIFE;
94; ALTO SANTA TEREZINHA;RECIFE;
